item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Chicken,Rice,Almond Milk,Maple Syrup,Grapes,Peanut Butter,Canned Soup,Watermelon,Flour,Frozen Fish,Lemon
Lime,Broccoli,nan,Vinegar,Olive Oil,Jam,Pepper,Apple,Soy Sauce,Salt,Yeast
Onion,Mushrooms,nan,Broccoli,Sour Cream,Carrot,Ketchup,nan,Canned Soup,Tomato,Honey
Olive Oil,Mushrooms,Cottage Cheese,Cucumber,Pineapple,nan,Chips,Juice,Whipped Cream,Grapes,Salsa
Mangoes,Avocado,Yeast,nan,nan,nan,Zucchini,Cantaloupe,Chips,Cereal,Ketchup
Cantaloupe,nan,Plums,Almond Milk,Butter,Plums,Pepper,nan,Kale,Barley,Soy Milk
Brussels Sprouts,Orange,Kale,Salsa,Nuts,Salsa,Watermelon,Apple,Plums,Coconut Milk,Apple
Tomato,Barley,Spinach,Pepper,Peas,Frozen Fish,Milk,Cottage Cheese,nan,Coconut Milk,Chili Pepper
Rice,Yeast,Water,Eggs,Baking Powder,nan,Bread,Eggs,Watermelon,nan,Bread
Heavy Cream,Broccoli,nan,nan,Orange,Chocolate,Carrot,nan,Frozen Fruits,Raspberries,Vinegar
Chia Seeds,Garlic,Frozen Fruits,Chocolate,Cottage Cheese,nan,Tomato,Lettuce,Cantaloupe,Juice,Radishes
Maple Syrup,Cauliflower,Nectarines,Flour,Honey,Chips,Lettuce,Pancake Mix,Half and Half,Couscous,Strawberries
Corn,Couscous,Asparagus,Olive Oil,Mayonnaise,nan,nan,nan,Canned Beans,Brown Sugar,Powdered Sugar
nan,Cottage Cheese,Water,Eggs,Tea,Whipped Cream,Apple,Coffee,nan,Butter,Crackers
nan,Vinegar,Juice,Ice Cream,Oats,Apple,Canned Soup,Oats,Water,Dried Fruit,Cheese
Olive Oil,Apple,Honeydew,nan,Blueberries,Peas,Yeast,Pineapple,Garlic,Ice Cream,Frozen Dinners
Bread,Sour Cream,Potato,nan,Frozen Vegetables,Soy Sauce,Peaches,Sugar,nan,Peanut Butter,Milk
Strawberries,Potato,Barley,Plums,Tomato,Jam,Bell Pepper,Frozen Fish,Eggplant,Coffee,Canned Tuna
Pears,Oats,Cantaloupe,Relish,Jam,Brussels Sprouts,Pancake Mix,Yogurt,Mushrooms,Hot Sauce,Chia Seeds
Cottage Cheese,nan,Eggs,Frozen Fish,Asparagus,Coconut Milk,Cookies,Cauliflower,Peaches,Carrot,Pasta
Dried Fruit,Jam,Broccoli,Yogurt,Cereal,Powdered Sugar,nan,Cauliflower,Mushrooms,Dried Fruit,Farro
Crackers,Almond Milk,Pineapple,Canned Tuna,Flour,Jam,nan,Fish,Frozen Pizza,Pickles,Bread
Mayonnaise,nan,Broccoli,Broccoli,Whipped Cream,Crackers,Garlic,Chocolate,Strawberries,Dried Fruit,Garlic
Baking Soda,nan,Bell Pepper,Chia Seeds,Potato,Fish,Butter,Broccoli,Frozen Pizza,nan,Spinach
Blackberries,Heavy Cream,Pineapple,Cottage Cheese,Dried Fruit,Soda,Lettuce,Frozen Pizza,Beans,Blackberries,Sugar
nan,Baking Soda,Frozen Shrimp,Cheese,Blackberries,Lentils,Almond Milk,Pancake Mix,Carrot,Ice Cream,Cucumber
Ice Cream,Peas,nan,Avocado,Green Beans,Lettuce,Canned Soup,Soy Sauce,Barley,Frozen Fish,Baking Soda
Fish,Cornstarch,nan,Cantaloupe,Mangoes,Bell Pepper,Corn,Banana,Powdered Sugar,Peas,Spinach
Frozen Shrimp,nan,Chocolate,Carrot,Canned Soup,Brussels Sprouts,Frozen Pizza,Couscous,Vinegar,Cantaloupe,Yogurt
Tomato,Butter Milk,Yeast,nan,Whipped Cream,Frozen Dinners,Corn,Oats,Radishes,Nectarines,Cauliflower
nan,Frozen Fish,Ketchup,Juice,Cereal,Honey,Peaches,Honeydew,Quinoa,Spinach,Honeydew
Heavy Cream,Cereal,Orange,Crackers,Frozen Pizza,Eggplant,Honeydew,Mustard,Lentils,Green Beans,Canned Tuna
Watermelon,Broccoli,Farro,Eggplant,Vinegar,Onion,Cookies,Barley,Asparagus,Chia Seeds,Soda
Blueberries,Brown Sugar,Coconut Milk,Cookies,Vinegar,nan,Raspberries,nan,Zucchini,Hot Sauce,Celery
Raspberries,Eggplant,nan,Mustard,Dried Fruit,Garlic,Canned Tuna,Peaches,Waffles,Yogurt,nan
Green Beans,Apple,Orange,Frozen Vegetables,Sugar,nan,nan,nan,Spaghetti Sauce,nan,Banana
Fish,nan,Plums,Waffles,Sugar,Couscous,Avocado,Banana,Ketchup,nan,nan
Peas,Salsa,Blueberries,Sour Cream,Corn,Frozen Vegetables,Fish,Orange,Cheese,Watermelon,nan
nan,nan,Hot Sauce,Chili Pepper,Mangoes,Tea,nan,Relish,Baking Soda,Heavy Cream,nan
Cookies,Waffles,Brussels Sprouts,nan,Potato,Spinach,Water,Ketchup,Zucchini,Oats,Pancake Mix
Tea,nan,Cheese,Cornstarch,Apple,Mayonnaise,Frozen Dinners,Cantaloupe,Orange,nan,Pasta
Orange,Baking Soda,Cereal,Honey,Barley,Plums,Mangoes,nan,Baking Powder,Potato,Asparagus
Onion,Powdered Sugar,Pasta,Peas,Mushrooms,Almond Milk,Cheese,Hot Sauce,Frozen Pizza,Beef,Olive Oil
Peas,Salt,Butter,Pancake Mix,Peanut Butter,Frozen Shrimp,Soy Sauce,Pepper,Bell Pepper,nan,Cottage Cheese
Bell Pepper,Frozen Vegetables,Chili Pepper,Apple,Mayonnaise,Soda,nan,Apple,Lettuce,Ketchup,Milk
Mangoes,Lemon,Flax Seeds,nan,Crackers,Peaches,Honeydew,Yeast,Avocado,Breadcrumbs,Farro
nan,Canned Tomatoes,Frozen Fruits,Frozen Fish,Cauliflower,Grapes,Cereal,Mustard,Pasta,Honey,Half and Half
Honeydew,Grapes,Vinegar,Powdered Sugar,Radishes,Flour,Butter,Half and Half,Quinoa,Ice Cream,Green Beans
Soda,Juice,Sugar,Ice Cream,Lemon,Waffles,Fish,Nuts,Mayonnaise,Green Beans,Cheese
Honey,Asparagus,Garlic,Water,Lemon,Cottage Cheese,Sugar,Baking Soda,Honey,nan,Frozen Dinners
Jam,Sugar,Half and Half,Hot Sauce,Salsa,Tomato,Mustard,Milk,Breadcrumbs,Juice,Cucumber
Canned Soup,Kale,nan,Canned Tomatoes,Relish,Apple,Baking Soda,Dried Fruit,nan,Green Beans,Garlic
Eggs,Green Beans,Sugar,Olive Oil,Apple,nan,Baking Soda,Pancake Mix,Eggplant,Nectarines,Potato
Salsa,Breadcrumbs,Frozen Shrimp,Lettuce,Corn,Hot Sauce,Salsa,Water,Frozen Pizza,Spaghetti Sauce,Carrot
Milk,Coconut Milk,nan,Frozen Fish,Cauliflower,nan,Sugar,Bread,Relish,Grapes,Potato
Vinegar,nan,Rice,Corn,Almond Milk,Sugar,Spaghetti Sauce,Lime,Salsa,Blackberries,Cheese
Soda,Nuts,Mayonnaise,Asparagus,Pepper,Soda,Frozen Dinners,Quinoa,Honeydew,Frozen Dinners,Lime
Beans,Zucchini,Lemon,Pineapple,Nectarines,Lemon,Zucchini,Flax Seeds,Soda,Whipped Cream,Raspberries
Peas,Sugar,Coffee,Pasta,Butter,Chicken,Garlic,Chia Seeds,Lime,nan,Lemon
Yeast,Mangoes,Sugar,Mustard,Cottage Cheese,Chocolate,Blueberries,Eggplant,Mushrooms,Oats,Barley
Frozen Vegetables,Brown Sugar,Bread,Milk,Celery,Chia Seeds,Vinegar,Cookies,Cereal,Baking Powder,Cookies
Heavy Cream,Canned Tuna,Raspberries,Kale,Frozen Vegetables,Grapes,Zucchini,Spinach,Baking Powder,Apple,Frozen Pizza
Sugar,Breadcrumbs,Broccoli,Pasta,Cantaloupe,Blueberries,Chocolate,Baking Powder,Whipped Cream,nan,Tomato
Cornstarch,nan,nan,Ice Cream,Pineapple,Jam,Garlic,Canned Tomatoes,Heavy Cream,Broccoli,nan
Waffles,Frozen Fruits,Carrot,Baking Soda,Pickles,Water,Barley,nan,Spaghetti Sauce,Spinach,Potato
Chicken,Butter Milk,Frozen Fish,Sour Cream,Bread,Coconut Milk,nan,Almond Milk,Quinoa,Almond Milk,nan
Frozen Fish,Cheese,Cucumber,Water,Spaghetti Sauce,Cauliflower,Apple,Banana,nan,Radishes,Juice
Butter,Grapes,Asparagus,nan,Baking Soda,Canned Tuna,Eggs,Milk,Mayonnaise,Soy Sauce,Lentils
Corn,Breadcrumbs,Half and Half,nan,Radishes,nan,Half and Half,Honeydew,Brown Sugar,Hot Sauce,Canned Tomatoes
Salsa,Barley,Tea,Apple,Frozen Dinners,Baking Powder,Nuts,Honey,nan,Maple Syrup,Peaches
Onion,Bell Pepper,Lime,Pickles,Dried Fruit,Tea,nan,Bread,Cheese,Eggplant,Soy Milk
Banana,Hot Sauce,nan,Tea,Farro,Sour Cream,Eggplant,Flax Seeds,Plums,Maple Syrup,Tea
Brown Sugar,Chili Pepper,Banana,Chips,Salt,Brown Sugar,Juice,Onion,Asparagus,Avocado,Maple Syrup
Canned Soup,Tomato,nan,Mustard,Green Beans,Frozen Fruits,Canned Soup,Baking Soda,Hot Sauce,Orange,Broccoli
Apple,Milk,Chia Seeds,Canned Soup,Potato,Barley,Eggplant,Canned Beans,Lime,Fish,Waffles
Rice,Canned Soup,Chips,Water,Flour,Brussels Sprouts,Coffee,Watermelon,Spaghetti Sauce,Crackers,Yeast
Blueberries,Kale,Pepper,Juice,Cornstarch,Peaches,Cottage Cheese,Cookies,Cottage Cheese,Bell Pepper,Peanut Butter
Mangoes,Eggplant,Coffee,Frozen Vegetables,Lentils,Chili Pepper,Ice Cream,Pasta,Whipped Cream,Plums,Peas
Coconut Milk,Juice,Chicken,Cereal,nan,Sour Cream,Flour,Frozen Pizza,Canned Tuna,Cantaloupe,Cheese
Canned Tomatoes,Frozen Vegetables,Strawberries,Yogurt,Garlic,Cookies,Canned Soup,Juice,nan,Cucumber,Crackers
Pasta,Lemon,Honey,Pepper,Quinoa,Frozen Shrimp,Pasta,nan,Carrot,Soy Sauce,Peas
Lime,Barley,nan,Yogurt,Jam,nan,Breadcrumbs,Coconut Milk,Potato,Frozen Fish,Celery
Canned Soup,Frozen Shrimp,Cornstarch,Yogurt,Cauliflower,Raspberries,Bread,Heavy Cream,Cauliflower,Kale,Waffles
nan,Plums,Salt,Plums,Cornstarch,Corn,Peanut Butter,Frozen Fruits,Eggs,Crackers,Nectarines
Salt,Whipped Cream,Juice,nan,Olive Oil,Pasta,Bread,Frozen Shrimp,Powdered Sugar,Breadcrumbs,Cantaloupe
Tomato,Cornstarch,nan,Cantaloupe,Tea,Salt,Flax Seeds,Canned Tuna,Frozen Pizza,Green Beans,Salt
Powdered Sugar,nan,nan,Nectarines,Barley,Beans,Soda,Corn,Canned Soup,Mayonnaise,Yeast
Tomato,Lime,Strawberries,Peas,Farro,nan,Tomato,Butter,Farro,Oats,Canned Tomatoes
Frozen Dinners,Pasta,Honeydew,nan,Bell Pepper,Celery,Baking Soda,Nuts,Canned Tuna,Asparagus,Green Beans
Tomato,Butter,Blackberries,nan,Broccoli,nan,Baking Powder,Baking Powder,Lemon,Frozen Pizza,Jam
Soy Milk,nan,Grapes,Frozen Fruits,Frozen Fruits,Lentils,Almond Milk,Almond Milk,Peaches,Potato,Ketchup
Nectarines,Mangoes,Corn,Cottage Cheese,Mayonnaise,Frozen Fruits,nan,Mushrooms,nan,Frozen Fruits,Hot Sauce
Beans,Mustard,Cantaloupe,nan,Relish,nan,Pancake Mix,Heavy Cream,Milk,Strawberries,Chicken
Canned Tomatoes,Lentils,Chocolate,Vinegar,Flour,Milk,Banana,Peas,Chicken,Zucchini,Asparagus
Olive Oil,Sour Cream,Chia Seeds,Pepper,Raspberries,Mushrooms,Farro,Celery,nan,Potato,Eggplant
Mangoes,Grapes,Broccoli,Nectarines,Banana,Frozen Shrimp,Frozen Fruits,Watermelon,Corn,Canned Soup,Yeast
nan,Pineapple,Butter,Rice,Butter,Cheese,nan,Raspberries,Eggplant,Frozen Fruits,Cereal
Plums,Grapes,Baking Soda,Blueberries,Honeydew,Tea,nan,Peas,Orange,Asparagus,Carrot
Pears,nan,Chips,Nuts,Yogurt,Radishes,Rice,Celery,Zucchini,Yeast,Eggplant
Salsa,Eggplant,Yeast,Peanut Butter,Blueberries,Zucchini,Raspberries,Relish,Kale,nan,Nuts
nan,Barley,Lime,Honey,Beans,Raspberries,Cucumber,nan,Breadcrumbs,Pineapple,nan
Pepper,nan,Butter,Cucumber,Honey,Grapes,Cheese,Blackberries,Heavy Cream,Vinegar,nan
Milk,nan,Orange,Raspberries,Maple Syrup,Quinoa,Cookies,Zucchini,Mustard,Juice,Waffles
Baking Powder,Barley,Mayonnaise,Broccoli,Peaches,Oats,Eggplant,Peaches,Frozen Dinners,Banana,Kale
Banana,Orange,Crackers,Avocado,nan,Chicken,Honey,Yogurt,Waffles,Cottage Cheese,Honeydew
Cereal,Tea,Pickles,Yogurt,Frozen Pizza,Watermelon,Water,Cauliflower,Eggplant,nan,Eggs
Frozen Vegetables,Baking Powder,Blackberries,Spinach,Asparagus,Cauliflower,Corn,Peas,Fish,nan,Beef
Mayonnaise,Mustard,Cheese,Flax Seeds,Cottage Cheese,Lime,Cauliflower,Apple,Olive Oil,Barley,Peaches
Spinach,Kale,Frozen Vegetables,Cucumber,Chia Seeds,Blackberries,Quinoa,Raspberries,nan,Frozen Vegetables,Vinegar
Frozen Dinners,Eggs,Coconut Milk,Frozen Vegetables,Dried Fruit,Lime,Baking Soda,Salsa,Sour Cream,Avocado,Pasta
Canned Tomatoes,Zucchini,Cheese,Banana,Vinegar,Blackberries,Eggs,Mushrooms,Frozen Dinners,Kale,Dried Fruit
Nectarines,Mustard,Nuts,Lentils,Apple,Pasta,Frozen Shrimp,Corn,Lime,Bell Pepper,Water
Canned Soup,Lemon,Tomato,nan,Avocado,Sugar,Frozen Vegetables,Mushrooms,Frozen Pizza,Juice,Salt
Coffee,Whipped Cream,Green Beans,Mustard,Barley,nan,Cornstarch,Waffles,Cereal,Butter,nan
Farro,Spaghetti Sauce,nan,Lime,Juice,Chia Seeds,Canned Tomatoes,nan,Baking Soda,Frozen Vegetables,Barley
Flour,Canned Tomatoes,nan,Carrot,nan,Chips,nan,Juice,Cereal,Asparagus,Salt
Flax Seeds,nan,Potato,Spaghetti Sauce,Lettuce,Ice Cream,Hot Sauce,Canned Tuna,Coffee,nan,Oats
Maple Syrup,Soda,Lettuce,Tomato,Nuts,Water,Garlic,Relish,Hot Sauce,Cornstarch,Raspberries
Cucumber,Fish,Oats,Ice Cream,Pancake Mix,Potato,Brussels Sprouts,Asparagus,Soda,Farro,Salsa
Corn,Rice,nan,Barley,Radishes,Coffee,Salt,Flax Seeds,nan,Crackers,Nectarines
Sour Cream,nan,Beef,Canned Tomatoes,Spinach,nan,Water,Powdered Sugar,Canned Tuna,nan,Milk
Asparagus,Potato,Sour Cream,Baking Soda,Butter Milk,Mangoes,Fish,Breadcrumbs,Honey,Fish,Strawberries
Lemon,Peas,Baking Soda,Cereal,Soda,Baking Powder,Nectarines,Breadcrumbs,Chips,Onion,Grapes
Chips,nan,Green Beans,Cereal,Orange,nan,Cereal,Garlic,Strawberries,Tomato,Canned Beans
Pickles,Baking Powder,Pickles,Cookies,Cantaloupe,Salsa,Soda,Radishes,Bell Pepper,Beef,Juice
Cereal,Avocado,Beans,Potato,Grapes,Kale,Maple Syrup,Blackberries,Blueberries,Brown Sugar,Crackers
Spaghetti Sauce,Lime,Watermelon,Soy Milk,Olive Oil,Mustard,Soda,nan,Ketchup,Farro,Potato
Juice,Mayonnaise,nan,Cantaloupe,Pancake Mix,Cornstarch,Frozen Pizza,Cornstarch,Tea,Sour Cream,Strawberries
Yeast,Frozen Pizza,Flax Seeds,nan,Plums,Half and Half,Frozen Fish,nan,Honeydew,Nuts,Relish
Milk,Cereal,Bell Pepper,Cauliflower,Frozen Shrimp,nan,Cantaloupe,Coconut Milk,Carrot,Banana,Lemon
nan,Raspberries,Sour Cream,Milk,Peaches,Canned Tomatoes,Pickles,Apple,Yeast,Pepper,Cookies
Honeydew,Canned Beans,Frozen Pizza,Flax Seeds,Onion,Cookies,Spinach,Nuts,Ice Cream,Powdered Sugar,Vinegar
Soy Milk,Heavy Cream,Zucchini,Chia Seeds,Cheese,Chips,Frozen Vegetables,Heavy Cream,nan,nan,Milk
Carrot,Butter Milk,Chia Seeds,Canned Beans,Mustard,Nuts,Garlic,Whipped Cream,nan,Rice,Brown Sugar
Soda,Radishes,Cheese,nan,Almond Milk,Pancake Mix,Vinegar,Bread,Cornstarch,Almond Milk,Blackberries
Yeast,Beans,nan,Half and Half,nan,nan,Cucumber,Powdered Sugar,Breadcrumbs,Chocolate,Yogurt
Jam,Cereal,Corn,Almond Milk,Cucumber,Broccoli,nan,Quinoa,Frozen Pizza,Frozen Fish,Half and Half
Green Beans,Canned Tuna,Heavy Cream,Canned Tomatoes,Honey,Peanut Butter,Plums,Zucchini,Frozen Vegetables,nan,Coffee
Frozen Dinners,Asparagus,nan,Brussels Sprouts,Blackberries,Cucumber,Waffles,Orange,Mushrooms,Radishes,Frozen Pizza
Yogurt,Cottage Cheese,Whipped Cream,Rice,Blackberries,Eggplant,Chili Pepper,Frozen Dinners,Bell Pepper,Chicken,Sugar
Cauliflower,Eggplant,nan,Strawberries,Soy Sauce,Crackers,Frozen Vegetables,nan,Salt,Heavy Cream,Chicken
Soda,Crackers,nan,Blueberries,Tomato,Frozen Fish,Cereal,Pepper,Honey,Tea,Coconut Milk
Brown Sugar,Coconut Milk,Chips,Baking Soda,Honey,Strawberries,Pepper,Flour,Frozen Fish,Kale,nan
Spinach,Pineapple,Bread,Frozen Fish,nan,nan,Pepper,Cheese,Vinegar,Cheese,Juice
Soy Sauce,Waffles,Celery,Pickles,nan,Quinoa,Powdered Sugar,Chili Pepper,Plums,Canned Tomatoes,Pears
Baking Soda,Vinegar,Corn,Soda,Carrot,Whipped Cream,Blackberries,Banana,Watermelon,Baking Soda,Olive Oil
Canned Soup,Watermelon,Apple,Frozen Pizza,Frozen Shrimp,Coffee,Coconut Milk,Flax Seeds,Almond Milk,Baking Powder,Plums
nan,Canned Tuna,Frozen Dinners,Canned Tomatoes,Carrot,nan,Mushrooms,Pickles,nan,Pepper,nan
Oats,Onion,Pickles,Soy Milk,Onion,Orange,Apple,Cauliflower,Soy Milk,Yeast,nan
Powdered Sugar,Cauliflower,nan,Mangoes,Pancake Mix,Pineapple,Lettuce,Ice Cream,nan,Baking Powder,Butter Milk
Water,Water,Tomato,Frozen Vegetables,Olive Oil,Watermelon,Half and Half,nan,Rice,Plums,Vinegar
Relish,Peas,Pancake Mix,Cereal,Frozen Pizza,Potato,Pickles,nan,Canned Tuna,Brussels Sprouts,Peanut Butter
Lime,Frozen Pizza,Frozen Fruits,Almond Milk,Yogurt,Avocado,nan,Soy Sauce,Juice,Lentils,Relish
Tomato,Canned Tuna,Baking Soda,Jam,Yeast,Nuts,Pancake Mix,Mayonnaise,Oats,Cucumber,nan
nan,Vinegar,Peas,Cornstarch,Canned Soup,Cauliflower,Powdered Sugar,Grapes,Tomato,Waffles,nan
Water,Broccoli,Soda,Corn,Strawberries,Chili Pepper,Pepper,Vinegar,Butter,Apple,Heavy Cream
Flour,Maple Syrup,Onion,Baking Powder,Rice,Butter,Corn,Butter Milk,Radishes,Vinegar,Plums
nan,Pepper,nan,Radishes,Brussels Sprouts,Waffles,nan,nan,Blackberries,Apple,Chocolate
nan,Banana,Grapes,Pineapple,Yogurt,Lentils,Frozen Fish,nan,nan,Grapes,Beans
Tomato,Lemon,Pickles,Ketchup,Cheese,Tomato,Dried Fruit,Pepper,Pancake Mix,Canned Tomatoes,nan
Barley,Vinegar,Apple,Salt,Pasta,Farro,Canned Soup,Eggs,Strawberries,Eggs,Sugar
Butter Milk,Lime,Cucumber,Canned Tomatoes,Frozen Dinners,nan,Canned Soup,Juice,Canned Tomatoes,Garlic,Pears
Yogurt,Tomato,Carrot,Radishes,Potato,Couscous,Yeast,Lemon,Blackberries,Lentils,Couscous
Cottage Cheese,Waffles,Beef,Watermelon,Cauliflower,Sugar,Broccoli,nan,Broccoli,Brown Sugar,Spinach
Cottage Cheese,Powdered Sugar,Baking Powder,Blueberries,Yeast,Flour,Flour,Pepper,Onion,Chocolate,Bread
Frozen Pizza,Canned Beans,Barley,Bread,Onion,Chocolate,Chili Pepper,nan,Sugar,Blueberries,Cottage Cheese
Barley,Soy Milk,Beef,Spinach,Cornstarch,Sour Cream,Pickles,Brown Sugar,Yeast,Sour Cream,Chips
Canned Beans,Coffee,Nuts,Tomato,Juice,Cheese,Corn,Water,Pickles,Powdered Sugar,Quinoa
nan,Milk,Garlic,Brussels Sprouts,Olive Oil,Pickles,Peaches,Frozen Vegetables,Olive Oil,Beef,Green Beans
Almond Milk,nan,Pasta,Oats,Radishes,nan,Dried Fruit,Salsa,Lettuce,Kale,nan
Soda,Jam,Eggs,Brussels Sprouts,Lime,Cheese,Barley,Brussels Sprouts,Lettuce,Frozen Dinners,Juice
nan,Honeydew,Waffles,Couscous,Pepper,Strawberries,Soda,Sour Cream,Tea,Breadcrumbs,Eggplant
Frozen Vegetables,Canned Beans,Radishes,Plums,Jam,Celery,Canned Tuna,Breadcrumbs,Frozen Shrimp,Watermelon,Salt
nan,Soy Milk,Frozen Fish,Chili Pepper,Banana,Nuts,Nuts,Frozen Fish,Maple Syrup,Breadcrumbs,Mustard
Nuts,Coconut Milk,Tomato,Crackers,Canned Soup,Mustard,Soda,nan,Lemon,Breadcrumbs,Canned Tuna
Cucumber,Chocolate,nan,Rice,Mushrooms,Plums,Flax Seeds,Sugar,Mustard,nan,Cheese
Dried Fruit,Grapes,Beans,Baking Soda,nan,Lentils,Cottage Cheese,Salsa,Chia Seeds,Pears,Sour Cream
Quinoa,Baking Soda,nan,Broccoli,Brown Sugar,Eggs,Nectarines,Flax Seeds,Chips,Ice Cream,nan
Honey,nan,Frozen Pizza,Almond Milk,Flax Seeds,Pickles,nan,Eggplant,Watermelon,Pancake Mix,Brussels Sprouts
Chicken,Blueberries,Cornstarch,Lemon,Cucumber,Chocolate,Onion,Coffee,nan,Mushrooms,Quinoa
Cottage Cheese,Lettuce,nan,Whipped Cream,Tea,Radishes,Frozen Dinners,Pickles,Frozen Fish,Nuts,Sour Cream
Barley,Almond Milk,Maple Syrup,nan,Asparagus,Rice,Couscous,Banana,Butter Milk,Yeast,Carrot
Milk,nan,nan,nan,Brussels Sprouts,Avocado,Barley,Eggplant,nan,Frozen Fruits,Quinoa
Eggs,Barley,Chili Pepper,Sugar,Breadcrumbs,Watermelon,Chia Seeds,Pancake Mix,Tea,Hot Sauce,Rice
Cottage Cheese,Beans,Pasta,Powdered Sugar,Vinegar,Vinegar,Salt,Cucumber,Raspberries,Baking Powder,nan
Barley,nan,Spaghetti Sauce,Asparagus,Hot Sauce,Sugar,Butter Milk,Bell Pepper,Soda,Eggplant,Farro
Relish,Jam,Cauliflower,Canned Tomatoes,Hot Sauce,Mangoes,Radishes,Farro,Butter Milk,Cookies,Celery
Nuts,Mushrooms,Nuts,Cornstarch,Waffles,Tomato,Cereal,nan,Peas,Coconut Milk,Nectarines
Zucchini,Mangoes,Carrot,Lemon,Apple,Canned Tomatoes,Water,Baking Powder,Bell Pepper,Soda,Banana
Butter,Mayonnaise,Green Beans,Cookies,Chips,Cheese,Rice,Canned Beans,Canned Soup,Bell Pepper,Breadcrumbs
Milk,Milk,Cucumber,Cucumber,Spaghetti Sauce,Brown Sugar,Water,Sugar,Cantaloupe,Peas,Olive Oil
Mustard,Milk,Heavy Cream,Zucchini,Potato,Canned Beans,Mushrooms,Ketchup,Milk,Flour,Bread
Lentils,Grapes,Soy Sauce,nan,nan,Mushrooms,Cauliflower,Beef,Chili Pepper,Water,Maple Syrup
Pickles,Cucumber,Peaches,Soy Milk,Spaghetti Sauce,Lime,Cauliflower,Radishes,Fish,Pears,Frozen Pizza
nan,Whipped Cream,nan,Cantaloupe,Banana,nan,Pancake Mix,Carrot,Bell Pepper,nan,Honey
nan,Frozen Fish,Relish,Mushrooms,Yeast,Bell Pepper,Cauliflower,Couscous,Plums,Couscous,Sour Cream
Chili Pepper,nan,Salt,Eggs,Butter Milk,Chips,Green Beans,Mushrooms,Lettuce,Hot Sauce,Water
Yeast,Baking Soda,Relish,Coconut Milk,Ice Cream,Eggs,Waffles,Chocolate,Coconut Milk,Fish,nan
Celery,Honeydew,Fish,Asparagus,nan,Cauliflower,Celery,Bell Pepper,Cucumber,Brussels Sprouts,Kale
Oats,Breadcrumbs,Rice,Rice,Garlic,Broccoli,Chili Pepper,nan,Tea,Sour Cream,Baking Soda
Green Beans,nan,Honeydew,Cottage Cheese,Relish,Orange,nan,Cantaloupe,nan,nan,Potato
Potato,Juice,Baking Powder,Maple Syrup,Grapes,Lemon,Lime,Heavy Cream,Pasta,Cheese,Lettuce
nan,Cereal,Nuts,Asparagus,Couscous,Cookies,Half and Half,Broccoli,Butter Milk,Salt,Rice
Eggplant,Avocado,Water,Lemon,Frozen Fish,Brussels Sprouts,Relish,Pineapple,Kale,Water,Frozen Dinners
Radishes,Corn,Frozen Fish,Ice Cream,Whipped Cream,Powdered Sugar,Blackberries,nan,Canned Soup,Beef,nan
Beans,Zucchini,Mayonnaise,Lime,Frozen Vegetables,Canned Tomatoes,Flour,Frozen Shrimp,Tomato,Milk,Cheese
nan,Waffles,Ice Cream,Honey,Coffee,Mustard,Barley,Soda,Cucumber,Frozen Shrimp,nan
Blackberries,Coconut Milk,Mushrooms,Juice,Beans,Lemon,nan,Soy Milk,Frozen Fish,Frozen Dinners,Mushrooms
Broccoli,Blueberries,Sugar,Tomato,Relish,nan,Salt,nan,Brussels Sprouts,Lemon,Hot Sauce
Celery,Water,nan,Frozen Pizza,Bread,Pasta,nan,Flax Seeds,Butter,Coffee,Lemon
Spinach,Salt,Blackberries,Jam,Peaches,nan,Honey,Nectarines,Frozen Dinners,nan,Ketchup
Mayonnaise,Strawberries,Carrot,Salt,Butter,Spaghetti Sauce,nan,Beans,Heavy Cream,Crackers,nan
Honeydew,Honeydew,Chips,Soy Milk,Pasta,Crackers,Eggs,Baking Soda,Peaches,Nectarines,Honeydew
Olive Oil,Jam,Peanut Butter,Mushrooms,Lentils,Apple,nan,Radishes,Beef,Rice,Barley
Tea,Peas,Cauliflower,Frozen Vegetables,Grapes,Yogurt,Milk,Crackers,Canned Tuna,Corn,Mushrooms
Ice Cream,Peas,Bell Pepper,Couscous,Pasta,Ice Cream,Dried Fruit,Honeydew,Canned Soup,Green Beans,Ice Cream
Salt,Plums,Flax Seeds,Brussels Sprouts,Nectarines,Butter,Eggs,Nuts,Heavy Cream,Ketchup,nan
Hot Sauce,Potato,Broccoli,Bell Pepper,Tomato,Carrot,Canned Tuna,Flax Seeds,Ketchup,Maple Syrup,Mushrooms
Rice,Baking Powder,Green Beans,Butter,Lettuce,Frozen Fruits,nan,Bread,Eggplant,Breadcrumbs,Apple
Frozen Fish,Bell Pepper,Banana,Yeast,Coconut Milk,Baking Powder,nan,Canned Soup,Frozen Vegetables,Broccoli,Peas
Nectarines,Nuts,Peanut Butter,Nuts,Apple,Nuts,Frozen Fruits,Frozen Vegetables,Rice,Mayonnaise,Lime
Cauliflower,Chips,Butter,Cornstarch,Watermelon,Garlic,nan,Dried Fruit,nan,Hot Sauce,Beans
Lettuce,Chili Pepper,Farro,Chips,Peas,Frozen Fruits,Grapes,Whipped Cream,Vinegar,Mushrooms,Frozen Fish
Cucumber,Radishes,Banana,Mangoes,Corn,Mushrooms,Eggs,Peaches,Quinoa,Pears,Vinegar
