Level,Salary
Senior,96432
Lead,133395
Mid,75941
Lead,124855
Senior,113580
Junior,65166
Junior,55788
Junior,60561
Junior,51988
Junior,61737
Senior,119096
Entry,37162
Mid,83065
Junior,64114
Junior,55755
Junior,54117
Junior,51518
Senior,106346
Entry,43237
Senior,119074
Senior,93554
Junior,69233
Mid,71742
Mid,73849
Entry,42768
Entry,34195
Mid,88939
Junior,57619
Entry,32642
Junior,64296
Junior,65438
Mid,74757
Mid,85226
Senior,115185
Entry,38475
Entry,34396
Senior,103318
Entry,30082
Entry,37817
Senior,101336
Lead,122093
Junior,58367
Entry,34937
Junior,68202
Junior,69874
Senior,97674
Lead,143678
Entry,33676
Mid,72962
Senior,102048
Mid,72424
Entry,40409
Junior,60451
Lead,148327
Entry,40996
Senior,111550
Entry,34164
Mid,75039
Junior,64631
Mid,78252
Junior,67721
Entry,31551
Junior,51629
Junior,51361
Mid,75283
Mid,80558
Lead,134839
Mid,71993
Entry,31014
Mid,82013
Mid,86873
Entry,40748
Mid,78024
Entry,41035
Entry,48257
Mid,72817
Lead,140025
Mid,75307
Junior,67063
Senior,118273
Senior,95738
Lead,145934
Senior,97697
Junior,66446
Mid,77352
Lead,143299
Lead,141354
Senior,93278
Entry,33074
Junior,58312
Entry,31637
Lead,125103
Lead,137028
Entry,32761
Senior,108452
Junior,52668
Senior,105954
Mid,82356
Entry,30195
Senior,101707
Mid,73606
Entry,30060
Junior,64387
Entry,43622
Lead,146147
Junior,51200
Junior,69238
Entry,36972
Entry,47413
Mid,88978
Entry,30086
Entry,36219
Mid,84749
Entry,49157
Entry,43596
Lead,148246
Lead,143199
Senior,119166
Lead,125520
Lead,140929
Lead,128837
Senior,101281
Entry,38912
Mid,77081
Mid,71673
Senior,114690
Senior,119345
Entry,43545
Senior,113562
Mid,84453
Senior,112167
Mid,75628
Entry,45534
Entry,49389
Entry,46402
Mid,84665
Junior,58640
Lead,145521
Junior,55618
Lead,143285
Entry,41169
Lead,132207
Lead,130799
Entry,34927
Lead,131164
Junior,56160
Lead,145924
Junior,65810
Junior,50816
Lead,120192
Entry,33645
Entry,36314
Entry,48172
Mid,77374
Lead,123700
Mid,80655
Junior,59359
Entry,33893
Senior,99288
Entry,30504
Entry,40738
Senior,101186
Entry,30717
Lead,124434
Mid,75057
Entry,34994
Mid,73764
Entry,39447
Junior,60674
Junior,61999
Senior,117374
Entry,35991
Senior,109790
Senior,101064
Entry,34780
Junior,65169
Lead,138988
Senior,112463
Lead,120634
Junior,61996
Mid,84162
Mid,84005
Mid,72890
Junior,60858
Mid,73306
Junior,59277
Entry,45240
Senior,90670
Senior,107889
Lead,131767
Entry,46633
Junior,51892
Lead,146429
Junior,61763
Entry,41618
Lead,141714
Senior,109996
Mid,73163
Entry,32942
Senior,91925
Lead,131705
Entry,40966
Mid,88196
Junior,50489
Lead,142260
Junior,69275
Junior,53516
Lead,126410
Mid,75944
Lead,120954
Junior,51629
Senior,98841
Senior,102682
Entry,48945
Junior,56539
Mid,70857
Junior,57485
Entry,46767
Entry,34334
Mid,89109
Mid,83440
Lead,142495
Senior,102180
Junior,66140
Mid,89299
Junior,69430
Lead,145550
Senior,114031
Senior,106377
Lead,142867
Senior,106544
Senior,119063
Entry,33748
Lead,140884
Mid,75710
Lead,139259
Junior,52103
Mid,81767
Lead,132742
Lead,148901
Junior,65623
Mid,87589
Lead,132031
Mid,79867
Mid,70956
Mid,76623
Lead,147081
Mid,74460
Mid,83986
Lead,139212
Entry,32850
Senior,100698
Mid,89348
Mid,84282
Senior,119999
Lead,122850
Junior,69888
Senior,112431
Mid,81618
Mid,83519
Lead,147772
Junior,60776
Senior,99788
Lead,124478
Mid,80922
Junior,50572
Mid,75395
Mid,81094
Mid,75741
Junior,56838
Senior,114260
Mid,74996
Mid,72827
Junior,64211
Entry,32217
Senior,114229
Entry,44026
Mid,89345
Mid,83878
Junior,57031
Mid,73716
Entry,30570
Entry,43288
Junior,50917
Mid,76982
Senior,96336
Senior,119077
Junior,62380
Junior,61667
Junior,67519
Entry,38566
Mid,75162
Senior,91319
Senior,113773
Mid,77323
Junior,55213
Lead,139404
Junior,69173
Junior,59802
Senior,112439
Mid,81413
Senior,113559
Lead,132583
Junior,55021
Entry,48771
Senior,96582
Mid,88950
Lead,145530
Mid,77382
Entry,48643
Lead,137641
Entry,44062
Entry,31230
Lead,123805
Senior,104715
Lead,125750
Senior,103232
Entry,33135
Junior,51546
Junior,67478
Senior,109001
Junior,54145
Junior,62851
Lead,139539
Mid,84119
Senior,100295
Mid,86575
Lead,120861
Senior,107033
Senior,105408
Senior,115212
Lead,136351
Senior,108532
Junior,61349
Senior,101486
Junior,56079
Junior,62298
Senior,93373
Lead,134527
Junior,51447
Mid,89567
Senior,103757
Entry,49520
Junior,54920
Junior,58417
Entry,35208
Junior,63223
Entry,48537
Lead,131088
Entry,37124
Junior,67228
Entry,30446
Senior,105787
Mid,76587
Entry,30226
Junior,61151
Senior,90186
Entry,44559
Lead,147500
Entry,32032
Lead,125509
Mid,83900
Entry,44523
Junior,50269
Senior,112523
Entry,41084
Mid,84821
Senior,106436
Mid,88050
Lead,126901
Junior,50719
Lead,126855
Entry,41874
Junior,64079
Mid,77243
Entry,39018
Lead,141758
Lead,144253
Senior,109800
Entry,34820
Junior,63907
Senior,111004
Lead,130878
Junior,58112
Senior,108931
Lead,120336
Senior,102768
Entry,30910
Lead,135632
Junior,55447
Junior,55850
Lead,127446
Mid,81737
Mid,85588
Entry,38347
Entry,48108
Junior,60997
Junior,59104
Lead,126751
Junior,51756
Junior,52828
Mid,84996
Entry,43778
Senior,106526
Entry,49145
Senior,96622
Lead,134806
Senior,113453
Entry,31848
Senior,92696
Entry,39259
Mid,84154
Junior,53791
Entry,33871
Senior,107888
Lead,143501
Entry,48074
Senior,115920
Mid,73303
Junior,66061
Mid,85198
Entry,47888
Junior,58924
Lead,123924
Junior,62901
Lead,145068
Mid,74917
Entry,40160
Mid,83682
Mid,82391
Mid,79062
Senior,100234
Entry,39221
Mid,84519
Senior,102225
Lead,143922
Senior,101989
Junior,61939
Junior,50307
Junior,53359
Entry,33176
Senior,95366
Senior,107901
Mid,84330
Senior,94992
Junior,62497
Entry,43255
Junior,65235
Senior,115498
Entry,41151
Senior,93358
Lead,145112
Junior,55698
Junior,61241
Entry,39497
Senior,101273
Mid,78002
Lead,141698
Junior,69738
Entry,46654
Mid,82392
Lead,135641
Junior,68782
Junior,56995
Senior,103782
Senior,110566
Entry,39461
Entry,34765
Mid,83272
Senior,95552
Senior,101989
Lead,126589
Lead,148128
Senior,108725
Lead,147790
Junior,50249
Senior,107358
Entry,39175
Entry,46260
Entry,37279
Senior,115902
Senior,106474
Junior,62948
Senior,103026
Mid,80377
Entry,37347
Entry,33783
Mid,74668
Lead,142393
Lead,121716
Lead,134391
Mid,71260
Lead,131460
Entry,44011
Mid,84365
Mid,88395
Senior,94939
Junior,60956
Mid,76078
Lead,143420
Senior,93961
Entry,38806
Junior,68103
Junior,63558
Senior,113384
Senior,107280
Lead,130350
Entry,41454
Junior,56837
Junior,55454
Entry,34117
Mid,88412
Entry,34624
Junior,58848
Entry,30589
Lead,139205
Mid,76509
Lead,132942
Lead,144346
Lead,129968
Lead,121015
Mid,79275
Lead,133269
Junior,50406
Entry,41268
Junior,61795
Mid,79603
Entry,35368
Lead,147526
Senior,101126
Mid,85086
Senior,117042
Entry,48850
Mid,88323
Senior,99890
Junior,62719
Senior,108279
Lead,142908
Entry,44698
Junior,55184
Mid,74895
Senior,101404
Junior,59343
Lead,127023
Senior,90807
Mid,84031
Senior,119885
Senior,94524
Junior,66223
Lead,125313
Mid,87141
Mid,84536
Lead,137345
Senior,92418
Junior,57119
Mid,89229
Junior,55316
Lead,147356
Senior,101873
Mid,77549
Lead,139094
Lead,130589
Junior,68925
Senior,109459
Lead,147542
Junior,69601
Junior,66991
Entry,48148
Junior,59221
Mid,82734
Mid,89561
Mid,74906
Entry,37263
Senior,111438
Senior,101088
Entry,39170
Lead,147039
Mid,77701
Entry,48581
Mid,87356
Mid,83704
Senior,92123
Entry,44448
Mid,71814
Junior,67490
Lead,139630
Lead,135406
Senior,103567
Entry,32971
Junior,52415
Entry,31609
Junior,62662
Entry,31048
Mid,78307
Junior,59993
Mid,75578
Mid,88004
Lead,127381
Lead,147526
Entry,32941
Junior,65179
Entry,43097
Junior,56197
Mid,75450
Entry,47937
Mid,87396
Mid,71881
Entry,43675
Mid,78430
Junior,66459
Senior,99548
Senior,95877
Junior,65833
Mid,88714
Senior,108443
Lead,138173
Mid,70016
Lead,136848
Senior,117604
Lead,136473
Senior,92843
Lead,148747
Lead,145501
Junior,51094
Lead,143731
Senior,91404
Lead,143324
Mid,73982
Senior,105790
Senior,114338
Lead,141097
Lead,140543
Lead,146650
Senior,114860
Senior,104616
Senior,93969
Junior,57108
Senior,106428
Mid,80273
Lead,148074
Lead,122581
Senior,118595
Senior,103128
Mid,84226
Senior,112766
Entry,38339
Entry,47695
Senior,93121
Junior,65946
Lead,120277
Junior,68243
Lead,131563
Junior,56792
Junior,63918
Senior,91170
Junior,60717
Mid,80680
Lead,141692
Mid,70287
Junior,68291
Junior,66513
Junior,52363
Entry,35983
Lead,137310
Mid,72176
Mid,70886
Lead,146627
Junior,62142
Junior,52654
Entry,47755
Entry,34654
Senior,111684
Junior,66131
Senior,100770
Junior,61559
Junior,63482
Mid,76636
Mid,86395
Mid,72537
Mid,85216
Junior,64209
Senior,105029
Senior,114229
Senior,106152
Lead,124873
Senior,90297
Entry,39036
Entry,38745
Lead,137653
Lead,127701
Entry,40401
Junior,61864
Junior,55543
Entry,48265
Entry,40079
Entry,33809
Senior,97206
Senior,111057
Entry,43746
Senior,106035
Mid,87793
Entry,35197
Junior,57452
Senior,117236
Senior,92172
Lead,140361
Lead,144209
Junior,55247
Junior,56135
Senior,116284
Senior,97189
Lead,133667
Entry,39311
Entry,37697
Mid,87046
Lead,140602
Mid,75060
Senior,100900
Mid,75581
Senior,115487
Entry,37148
Lead,134022
Senior,118048
Entry,36638
Senior,90609
Lead,130348
Mid,86755
Mid,72253
Mid,70864
Lead,127454
Mid,82370
Lead,142778
Senior,100530
Lead,135560
Lead,136709
Entry,37774
Junior,64252
Lead,124603
Mid,85960
Entry,44166
Mid,84246
Mid,86284
Junior,52575
Mid,87965
Mid,88624
Junior,65470
Entry,35968
Junior,57493
Lead,141615
Mid,73744
Mid,84523
Mid,75594
Senior,97371
Senior,108028
Senior,93144
Senior,106626
Mid,77269
Mid,76828
Mid,78844
Lead,126331
Entry,43397
Senior,100291
Lead,148501
Mid,80450
Senior,101463
Junior,67241
Mid,82182
Mid,70923
Entry,43331
Mid,89183
Mid,74875
Mid,80905
Junior,65882
Junior,69730
Senior,94837
Entry,47627
Entry,46226
Mid,88350
Mid,81580
Senior,100136
Senior,97833
Senior,98106
Mid,71652
Lead,148717
Lead,120599
Entry,38792
Lead,140597
Entry,40355
Senior,99290
Entry,44342
Junior,60762
Senior,104312
Lead,128982
Junior,57707
Mid,74633
Entry,39269
Lead,133778
Entry,45523
Mid,70272
Mid,83007
Senior,93164
Lead,134414
Entry,30946
Junior,66890
Lead,126719
Senior,115081
Entry,33590
Entry,47576
Junior,67848
Lead,131569
Mid,83107
Entry,32560
Senior,105284
Senior,99121
Senior,115488
Senior,119098
Junior,67667
Entry,40310
Junior,62744
Lead,124386
Lead,137303
Mid,88723
Junior,58947
Mid,75930
Mid,86017
Senior,90507
Lead,147151
Mid,78750
Mid,77354
Senior,110900
Entry,34399
Junior,65848
Senior,104877
Mid,88539
Senior,96365
Senior,105449
Lead,148926
Lead,128448
Junior,60073
Junior,56533
Senior,99927
Mid,79316
Junior,60846
Lead,133853
Entry,32080
Junior,57797
Mid,89878
Entry,47653
Lead,145419
Lead,121184
Mid,71725
Lead,144846
Junior,55606
Lead,136555
Junior,68690
Mid,86081
Senior,90421
Lead,145785
Entry,45966
Junior,65882
Senior,99082
Junior,56748
Junior,69627
Junior,69480
Entry,41348
Mid,75798
Senior,98415
Senior,102466
Entry,39145
Lead,148309
Lead,139158
Lead,142057
Lead,128671
Mid,87737
Mid,82070
Junior,58134
Lead,138554
Mid,83650
Junior,52395
Lead,135310
Mid,81781
Senior,109054
Lead,131410
Mid,79095
Junior,58531
Senior,99906
Lead,149122
Lead,149831
Lead,147842
Entry,36477
Lead,137400
Junior,69880
Entry,44308
Senior,92313
Mid,87615
Entry,34056
Junior,64347
Entry,31689
Entry,32936
Mid,84318
Lead,146026
Entry,35649
Lead,146445
Senior,117281
Mid,87726
Entry,45451
Mid,71079
Mid,83983
Entry,45327
Senior,117355
Entry,37235
Entry,32031
Mid,79095
Lead,123340
Lead,135896
Senior,91141
Junior,69281
Junior,52038
Lead,124270
Senior,106878
Lead,149809
Entry,49894
Mid,79190
Lead,126681
Lead,129643
Entry,42992
Mid,81126
Mid,80065
Senior,110918
Senior,112363
Senior,115274
Entry,32962
Senior,109322
Senior,116876
Entry,44745
Mid,83921
Mid,87575
Lead,135997
Senior,112837
Senior,102271
Mid,78876
Senior,99654
Lead,122841
Lead,126040
Entry,40304
Mid,86234
Lead,120490
Junior,55974
Entry,48324
Entry,31882
Lead,122987
Junior,53159
Mid,74530
Junior,51073
Senior,116970
Mid,74340
Lead,136184
Lead,127257
Lead,133900
Entry,44678
Senior,104436
Lead,121627
Entry,38219
Entry,48369
Entry,39713
Entry,32181
Mid,88680
Lead,138981
Lead,129290
Junior,63058
Lead,121378
Entry,35650
Junior,59456
Senior,97036
Lead,137442
Entry,34248
Lead,148592
Senior,117773
Mid,89937
Entry,30220
Mid,74818
Entry,37349
Mid,79856
Junior,54576
Junior,68255
Senior,105207
Junior,65905
Entry,46252
Lead,127813
Lead,125753
Entry,36191
Mid,88982
Junior,67417
Entry,34476
Entry,46862
Senior,102478
Entry,40860
Entry,36297
Senior,117856
Mid,76008
Senior,119764
Lead,120787
Junior,67006
Junior,53676
Lead,126915
Junior,57788
Junior,61452
Entry,30066
Entry,43277
Lead,146890
Mid,80724
Lead,143849
Lead,145763
Lead,139723
Lead,149769
Senior,118663
Entry,44643
Junior,66955
Lead,137558
Lead,131469
Junior,50178
Lead,140470
Entry,30798
Junior,52795
Entry,34588
Junior,53084
Junior,61110
Senior,91129
Mid,80937
Mid,72933
Senior,115791
Lead,125074
Mid,77099
Mid,70893
Entry,32371
Entry,31515
Mid,76326
Entry,35586
Senior,114070
Mid,87551
Mid,73793
Senior,105859
Mid,71577
Entry,48604
Lead,121030
Mid,85881
Junior,56691
Entry,47297
Lead,139581
Entry,31462
Entry,45511
Mid,85897
Mid,77037
Junior,59499
Mid,83386
Lead,126221
Mid,77769
Lead,141045
Mid,83639
Mid,80003
Mid,85240
Lead,123968
Lead,136574
Senior,101298
Mid,76380
Mid,88138
Senior,93158
Entry,43434
Mid,75417
Lead,128881
Senior,92212
Entry,46766
Entry,41695
Lead,129775
Mid,70371
Mid,78307
Lead,137724
Entry,49323
Senior,104998
Junior,59265
Junior,55454
Mid,76414
Junior,60486
Mid,84894
Lead,125480
Junior,50983
Lead,130143
Senior,119424
Lead,129216
Junior,63757
Senior,116957
Entry,45708
Junior,59297
Lead,136374
Lead,145496
Mid,84645
Junior,63668
Entry,41357
Lead,124435
Lead,135804
Lead,137429
Mid,77951
Junior,69065
Entry,39130
Entry,38633
Junior,66980
Junior,59053
Entry,46344
Lead,143620
Senior,104783
Mid,83799
Entry,36852
Junior,52659
Junior,62444
Mid,72925
Entry,36240
Entry,30215
Senior,101523
Lead,123153
Mid,71706
Mid,71567
Entry,40345
Entry,49894
Senior,97867
Junior,56001
Junior,54567
Entry,44348
Junior,52741
Lead,126256
Lead,144746
Lead,145001
Entry,43390
Junior,50918
Mid,72809
Junior,59017
Senior,100050
Junior,63929
Junior,66576
Senior,96637
Entry,38243
Junior,52410
Lead,139348
Junior,68952
Mid,71867
Junior,61461
Senior,96103
Mid,82197
Entry,46053
Entry,49824
Mid,75077
Entry,39142
Senior,115186
Lead,139989
Mid,81475
Lead,146098
Entry,32601
Junior,56080
Junior,58313
Entry,31317
Entry,31230
Mid,85927
Mid,84904
Senior,116081
Mid,88300
Entry,32757
Lead,126464
Mid,79088
Mid,85124
Lead,129743
Senior,90060
Junior,52895
Senior,102352
Senior,106969
Mid,81962
Senior,109782
Senior,112350
Junior,56957
Lead,130691
Mid,70001
Junior,67488
Lead,130891
Entry,45699
Entry,46821
Lead,123129
Mid,87285
Lead,131360
Junior,53918
Senior,106410
Junior,57118
Senior,100860
Mid,82472
Lead,127996
Junior,67974
Junior,57776
Lead,123225
Mid,84914
Lead,128737
Entry,49112
Mid,80833
Mid,87000
Entry,47587
Junior,52630
Junior,54321
Senior,103204
Senior,113760
Entry,40313
Mid,83502
Junior,64130
Senior,94151
Entry,42861
Mid,86667
Entry,33565
Mid,87849
Junior,57366
Lead,135630
Entry,37382
Senior,106149
Junior,50992
Mid,72121
Entry,42388
Mid,89572
Entry,46727
Entry,34823
Lead,124920
Junior,55471
Entry,39533
Entry,49267
Entry,48799
Junior,68122
Lead,122708
Junior,62982
Lead,120151
Junior,67296
Junior,63865
Senior,92148
Lead,133393
Entry,48504
Entry,30156
Senior,113889
Mid,78055
Mid,81468
Mid,77950
Senior,107380
Mid,89289
Senior,104873
Entry,39369
Junior,57853
Senior,105792
Junior,55599
Lead,147778
Junior,61049
Mid,74368
Senior,114480
Senior,94272
Mid,75994
Entry,49810
Senior,97011
Lead,140085
Senior,113439
Lead,143349
Entry,36704
Entry,48895
Junior,57367
Lead,124582
Senior,101397
Senior,103647
Entry,39549
Mid,89097
Junior,62486
Entry,49576
Lead,137107
Mid,75555
Senior,118412
Junior,68890
Junior,66781
Senior,101549
Entry,38747
Entry,45116
Junior,57067
Senior,100151
Junior,67864
Lead,135126
Entry,45613
Senior,96273
Senior,91299
Mid,76701
Mid,85627
Junior,58269
Mid,89105
Senior,107916
Lead,141695
Senior,106661
Junior,50523
Senior,102410
Lead,139506
Mid,71797
Senior,113706
Lead,142884
Mid,81332
Mid,86526
Mid,82665
Lead,120534
Lead,123364
Entry,33342
Mid,83465
Lead,121172
Entry,38007
Junior,66855
Lead,128738
Junior,50363
Junior,53240
Junior,62921
Entry,43968
Mid,81197
Mid,76923
Senior,117561
Lead,145441
Junior,55204
Entry,33203
Junior,52244
Mid,87025
Senior,111584
Junior,67249
Lead,146930
Mid,89902
Entry,36795
Entry,32567
Junior,51674
Senior,101572
Senior,91545
Lead,146835
Senior,113004
Junior,60492
Junior,59045
Lead,138667
Junior,58669
Senior,96998
Entry,43440
Junior,63733
Lead,132373
Senior,95961
Junior,57557
Entry,38433
Mid,85479
Lead,141751
Lead,126200
Entry,45802
Junior,52779
Entry,30755
Senior,112319
Junior,68714
Junior,67400
Senior,104249
Junior,62057
Entry,34938
Junior,56200
Senior,106615
Lead,142302
Entry,42817
Entry,48660
Junior,54497
Lead,137949
Senior,106692
Junior,58627
Entry,46522
Junior,69641
Junior,69619
Entry,30942
Lead,148455
Entry,46195
Junior,61154
Junior,59145
Mid,89765
Entry,30545
Lead,133304
Junior,66388
Junior,65372
Mid,72663
Mid,85033
Junior,53326
Senior,117521
Mid,87515
Senior,113121
Lead,134820
Senior,103569
Lead,126022
Junior,69543
Senior,96159
Senior,114904
Lead,129612
Lead,131593
Senior,92892
Entry,35812
Junior,50654
Junior,67143
Senior,119087
Mid,78446
Senior,108260
Entry,37787
Junior,61196
Lead,140118
Lead,142356
Lead,126380
Entry,39702
Lead,141142
Mid,70989
Lead,128446
Senior,94711
Lead,133161
Entry,44635
Senior,110836
Entry,37688
Senior,93908
Senior,101957
Senior,117959
Mid,70877
Junior,68252
Junior,67772
Junior,52637
Mid,79257
Senior,91204
Entry,41831
Entry,47607
Lead,145343
Mid,83994
Entry,30654
Lead,128412
Mid,74277
Mid,88953
Senior,99205
Senior,105198
Junior,63135
Senior,97448
Senior,93681
Senior,110580
Mid,86956
Lead,124753
Mid,74002
Entry,42278
Junior,51997
Senior,105784
Lead,145009
Senior,117305
Senior,97795
Lead,145441
Junior,52911
Junior,68799
Mid,85194
Mid,86117
Junior,55565
Senior,98624
Mid,83256
Senior,116822
Junior,61824
Mid,75930
Junior,54022
Entry,36617
Entry,35580
Mid,77619
Senior,93491
Mid,85728
Junior,55755
Entry,47718
Lead,138231
Senior,102126
Senior,97865
Lead,131347
Senior,104863
Lead,127060
Entry,33057
Lead,124428
Mid,78605
Lead,135761
Senior,90867
Senior,105155
Mid,70364
Senior,105366
Entry,36571
Lead,136963
Mid,84017
Lead,124150
Junior,69423
Junior,62236
Lead,132153
Junior,63833
Mid,71467
Mid,87264
Lead,149725
Lead,140528
Entry,31168
Lead,123129
Entry,32526
Senior,93516
Mid,80386
Senior,106012
Entry,46829
Lead,123626
Entry,33875
Junior,65979
Junior,66645
Entry,43382
Junior,60458
Lead,144667
Senior,111395
Entry,38347
Lead,138196
Junior,64254
Entry,35724
Mid,71407
Entry,44572
Mid,89881
Lead,127394
Entry,46935
Mid,82926
Lead,120997
Lead,134390
Senior,111939
Senior,118513
Lead,141687
Mid,75616
Entry,47232
Lead,130514
Mid,78695
Junior,66698
Senior,92376
Entry,34378
Junior,50574
Senior,103330
Entry,38949
Mid,75670
Senior,96567
Lead,139843
Entry,37837
Senior,104531
Lead,138376
Senior,98498
Lead,146537
Entry,47106
Senior,103521
Entry,34893
Mid,78400
Entry,49790
Senior,117912
Senior,107303
Senior,92044
Mid,88133
Mid,87483
Senior,93392
Lead,130672
Lead,126784
Junior,51070
Mid,71850
Senior,119841
Mid,75851
Junior,66378
Entry,30988
Junior,51502
Junior,66198
Senior,107809
Senior,119733
Mid,76654
Entry,40234
Entry,37367
Mid,72594
Junior,68820
Senior,116781
Senior,96310
Senior,119631
Entry,49867
Senior,108625
Mid,89149
Senior,103180
Senior,114014
Entry,44336
Entry,35470
Senior,104953
Lead,125739
Junior,56523
Senior,114422
Junior,62873
Senior,104457
Entry,35315
Entry,47886
Mid,77419
Mid,74598
Junior,50709
Junior,69941
Lead,132601
Mid,78061
Junior,52603
Junior,61620
Junior,68645
Junior,61826
Mid,86892
Senior,117740
Entry,43830
Lead,125495
Junior,61267
Junior,57398
Entry,35171
Mid,86708
Junior,63004
Mid,80775
Senior,106535
Mid,83794
Mid,70687
Mid,79694
Senior,102760
Lead,123395
Lead,132954
Entry,43731
Entry,30354
Entry,48408
Junior,53832
Lead,132467
Junior,63107
Senior,102458
Mid,80713
Mid,88870
Mid,78418
Senior,119113
Senior,115303
Lead,134419
Lead,130024
Entry,40932
Lead,127435
Lead,145719
Junior,53407
Lead,125666
Mid,80109
Lead,146505
Junior,60401
Mid,81975
Mid,85596
Lead,125185
Entry,40686
Senior,100680
Junior,64799
Entry,36539
Entry,44730
Lead,123990
Mid,87573
Junior,54095
Senior,114152
Senior,110316
Lead,144624
Senior,95408
Junior,52833
Lead,134116
Mid,80889
Junior,65994
Senior,114657
Entry,47205
Mid,77777
Senior,104849
Lead,147304
Mid,89830
Senior,104516
Lead,139091
Lead,123933
Junior,50922
Junior,60367
Junior,50564
Mid,80789
Lead,140950
Senior,96881
Lead,142414
Junior,64895
Mid,88312
Lead,148853
Lead,121017
Mid,85229
Mid,83303
Lead,122419
Mid,76240
Junior,55322
Mid,81232
Lead,144102
Junior,65523
Mid,74433
Mid,84016
Mid,80910
Senior,92944
Entry,37210
Senior,91986
Mid,82161
Junior,53007
Junior,58772
Entry,31211
Lead,135774
Junior,53185
Senior,105011
Lead,120048
Entry,46770
Junior,64553
Lead,134292
Lead,131609
Senior,105385
Lead,140750
Mid,79472
Lead,144834
Senior,94958
Lead,129079
Mid,86532
Junior,66821
Mid,73749
Junior,64009
Mid,81437
Entry,34551
Entry,42916
Lead,128391
Mid,88366
Lead,129663
Senior,92311
Junior,61565
Junior,63560
Lead,144559
Entry,45965
Junior,62067
Senior,113916
Lead,133653
Entry,33815
Lead,137231
Senior,96575
Lead,130464
Entry,33320
Mid,87948
Mid,88224
Mid,70726
Lead,148036
Junior,61910
Junior,62963
Entry,46666
Junior,69265
Entry,44196
Mid,79344
Junior,61689
Senior,94760
Lead,120066
Lead,144889
Lead,146177
Junior,63393
Junior,52251
Lead,147027
Senior,113104
Entry,36016
Lead,149299
Lead,139933
Entry,37938
Mid,75335
Senior,116412
Junior,52892
Entry,35577
Mid,87943
Senior,91507
Mid,72000
Mid,85566
Entry,34065
Mid,87987
Mid,88825
Mid,79318
Entry,41241
Junior,65574
Mid,83350
Mid,72096
Junior,68592
Lead,136559
Junior,63288
Senior,118947
Junior,68207
Senior,107740
Entry,49643
Mid,75231
Senior,92040
Entry,31849
Mid,71600
Lead,133951
Mid,81797
Mid,71132
Senior,95795
Senior,100531
Senior,118852
Junior,67871
Entry,35009
Junior,51044
Senior,92431
Senior,103926
Lead,141301
Junior,51620
Entry,34766
Mid,75192
Entry,46484
Junior,50237
Mid,81110
Junior,52542
Mid,80195
Junior,67138
Entry,43434
Lead,148241
Senior,110619
Lead,141894
Senior,118036
Entry,38697
Junior,60271
Junior,63100
Junior,54067
Senior,116257
Entry,39244
Lead,127281
Entry,45502
Junior,64670
Lead,134595
Junior,63041
Entry,34016
Senior,117878
Mid,83161
Lead,149545
Junior,54207
Entry,45043
Entry,39307
Senior,110260
Senior,97265
Senior,100116
Lead,145502
Lead,143176
Junior,59247
Entry,46925
Junior,68635
Lead,140953
Entry,44588
Entry,36041
Junior,51560
Mid,87548
Senior,92722
Entry,31468
Entry,36719
Senior,118718
Junior,60591
Junior,58012
Lead,128249
Junior,65147
Junior,50767
Mid,89838
Entry,37329
Lead,134621
Mid,74492
Mid,72073
Entry,36269
Lead,141701
Mid,76841
Entry,40955
Entry,39699
Junior,60762
Junior,57129
Junior,58788
Senior,90615
Senior,95677
Senior,118949
Lead,127866
Junior,66874
Lead,124987
Junior,52926
Entry,37282
Senior,105847
Entry,39490
Lead,126986
Mid,78159
Junior,67085
Mid,80111
Junior,56825
Lead,132454
Senior,110648
Entry,42516
Mid,77776
Junior,54619
Lead,130345
Senior,100100
Lead,127856
Junior,53022
Lead,131675
Entry,35738
Entry,31770
Junior,59969
Lead,128989
Junior,53215
Lead,126694
Entry,47136
Junior,51392
Junior,67061
Junior,61479
Junior,51946
Entry,47479
Senior,96985
Entry,31782
Lead,139641
Junior,59867
Mid,73981
Mid,75782
Junior,66984
Lead,133012
Entry,31524
Mid,70078
Senior,115473
Entry,43068
Junior,63362
Junior,55153
Mid,88562
Junior,60871
Mid,81077
Entry,35522
Mid,89665
Entry,43683
Senior,110612
Mid,76794
Entry,36749
Senior,107348
Entry,45450
Senior,112078
Lead,143249
Senior,114908
Entry,47700
Lead,135383
Mid,70355
Mid,79718
Junior,50028
Mid,84831
Senior,102638
Junior,52024
Mid,75839
Junior,63503
Mid,87622
Junior,51906
Junior,62031
Entry,45663
Entry,31460
Mid,85193
Junior,67800
Lead,149432
Entry,47812
Mid,77529
Mid,73071
Senior,114931
Senior,101692
Entry,32686
Mid,72553
Senior,103186
Senior,110710
Senior,95057
Lead,136776
Lead,140746
Lead,128802
Mid,75057
Entry,33677
Lead,134450
Senior,98123
Mid,83654
Entry,34071
Entry,32786
Junior,50870
Lead,131796
Junior,52739
Lead,120340
Lead,149715
Lead,124133
Senior,100225
Entry,33457
Entry,49359
Junior,50453
Entry,40976
Entry,30818
Lead,136396
Mid,82171
Entry,48802
Mid,76475
Lead,122017
Lead,124792
Mid,86251
Lead,130707
Lead,123543
Entry,36343
Junior,50211
Senior,112543
Junior,57027
Senior,113244
Lead,128169
Entry,39133
Senior,107032
Junior,60929
Lead,147323
Mid,87393
Senior,118656
Lead,132501
Entry,49785
Junior,55424
Junior,64086
Senior,93161
Lead,140539
Mid,79215
Junior,61926
